INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY SMLCAP 100,4891.1,4986.55,4984.6,4882.85,1325.36,316021615.0,2016-04-01
NIFTY SMLCAP 100,5017.85,5027.65,5018.4,4976.15,1145.84,182697813.0,2016-04-04
NIFTY SMLCAP 100,5004.4,5004.4,4910.7,4903.55,1319.1,197965843.0,2016-04-05
NIFTY SMLCAP 100,4929.9,4988.95,4982.25,4916.35,1261.83,196503153.0,2016-04-06
NIFTY SMLCAP 100,4997.85,5008.25,4949.05,4941.45,1187.16,195392734.0,2016-04-07
NIFTY SMLCAP 100,4949.55,4993.05,4988.35,4935.85,963.16,154750102.0,2016-04-08
NIFTY SMLCAP 100,5004.35,5032.1,5027.55,4970.3,979.29,146019291.0,2016-04-11
NIFTY SMLCAP 100,5047.45,5083.05,5069.4,5047.05,1192.14,142175321.0,2016-04-12
NIFTY SMLCAP 100,5117.75,5150.05,5115.2,5108.2,1197.14,202811203.0,2016-04-13
NIFTY SMLCAP 100,5123.25,5181.05,5177.35,5090.95,1112.2,154467329.0,2016-04-18
NIFTY SMLCAP 100,5197.0,5229.5,5218.25,5165.3,1215.31,198074494.0,2016-04-20
NIFTY SMLCAP 100,5243.9,5277.1,5200.65,5192.75,1230.22,187245383.0,2016-04-21
NIFTY SMLCAP 100,5201.65,5234.6,5212.15,5189.85,908.67,146453074.0,2016-04-22
NIFTY SMLCAP 100,5215.85,5232.55,5182.9,5169.35,996.83,151247643.0,2016-04-25
NIFTY SMLCAP 100,5185.25,5222.3,5212.4,5166.0,1207.96,170563553.0,2016-04-26
NIFTY SMLCAP 100,5229.3,5254.45,5244.6,5224.7,1328.86,159143433.0,2016-04-27
NIFTY SMLCAP 100,5254.95,5273.2,5191.1,5181.7,1696.97,293071016.0,2016-04-28
NIFTY SMLCAP 100,5198.55,5229.95,5201.55,5134.55,1294.91,191691237.0,2016-04-29
NIFTY SMLCAP 100,5188.05,5229.1,5225.9,5170.85,1294.98,158397504.0,2016-05-02
NIFTY SMLCAP 100,5253.15,5286.85,5207.5,5202.35,1412.09,187215690.0,2016-05-03
NIFTY SMLCAP 100,5200.25,5203.95,5117.8,5109.0,1063.99,170106786.0,2016-05-04
NIFTY SMLCAP 100,5128.15,5157.9,5114.6,5108.05,1077.43,172153190.0,2016-05-05
NIFTY SMLCAP 100,5101.9,5131.85,5106.9,5089.05,1108.2,149648320.0,2016-05-06
NIFTY SMLCAP 100,5135.0,5210.1,5204.05,5135.0,1382.25,158701982.0,2016-05-09
NIFTY SMLCAP 100,5211.5,5230.35,5208.55,5201.0,1264.66,166931483.0,2016-05-10
NIFTY SMLCAP 100,5142.7,5203.45,5183.8,5119.4,1352.61,272701820.0,2016-05-11
NIFTY SMLCAP 100,5200.8,5239.8,5234.6,5200.8,1488.72,183271047.0,2016-05-12
NIFTY SMLCAP 100,5232.9,5268.7,5216.9,5205.0,1493.09,209490655.0,2016-05-13
NIFTY SMLCAP 100,5228.25,5242.75,5221.1,5186.35,1202.14,160794800.0,2016-05-16
NIFTY SMLCAP 100,5245.4,5280.35,5254.55,5236.3,1701.03,204592946.0,2016-05-17
NIFTY SMLCAP 100,5241.7,5287.15,5283.25,5231.15,1408.55,170451708.0,2016-05-18
NIFTY SMLCAP 100,5292.6,5319.75,5220.45,5213.75,1911.79,236460810.0,2016-05-19
NIFTY SMLCAP 100,5233.75,5246.35,5150.9,5136.9,1333.56,159421977.0,2016-05-20
NIFTY SMLCAP 100,5185.15,5191.35,5121.8,5117.6,1115.15,151317229.0,2016-05-23
NIFTY SMLCAP 100,5134.35,5135.1,5081.45,5056.2,1198.73,183586581.0,2016-05-24
NIFTY SMLCAP 100,5112.0,5147.95,5128.9,5111.7,1517.57,171360152.0,2016-05-25
