INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY MIDCAP 50,,,1000.0,,303.99,36177665.0,2004-01-01
NIFTY MIDCAP 50,,,1028.25,,369.0,38498817.0,2004-01-02
NIFTY MIDCAP 50,,,1024.37,,346.43,35192512.0,2004-01-05
NIFTY MIDCAP 50,,,1007.26,,379.91,41173273.0,2004-01-06
NIFTY MIDCAP 50,,,982.49,,299.97,29396473.0,2004-01-07
NIFTY MIDCAP 50,,,1007.53,,306.72,27514265.0,2004-01-08
NIFTY MIDCAP 50,,,1020.28,,472.75,44399785.0,2004-01-09
NIFTY MIDCAP 50,,,1011.17,,339.92,30293872.0,2004-01-12
NIFTY MIDCAP 50,,,1017.38,,286.58,31366545.0,2004-01-13
NIFTY MIDCAP 50,,,1030.82,,385.79,38607570.0,2004-01-14
NIFTY MIDCAP 50,,,1019.91,,382.18,42170850.0,2004-01-15
NIFTY MIDCAP 50,,,993.7,,276.16,31596742.0,2004-01-16
NIFTY MIDCAP 50,,,999.64,,237.22,25980549.0,2004-01-19
NIFTY MIDCAP 50,,,984.73,,220.41,24407827.0,2004-01-20
NIFTY MIDCAP 50,,,910.71,,233.21,27652187.0,2004-01-21
NIFTY MIDCAP 50,,,882.46,,258.82,31266652.0,2004-01-22
NIFTY MIDCAP 50,,,925.24,,241.26,28707340.0,2004-01-23
NIFTY MIDCAP 50,,,954.91,,214.17,22639003.0,2004-01-27
NIFTY MIDCAP 50,,,934.31,,256.99,31168102.0,2004-01-28
NIFTY MIDCAP 50,,,929.0,,242.41,28267203.0,2004-01-29
NIFTY MIDCAP 50,,,900.66,,211.92,22448024.0,2004-01-30
NIFTY MIDCAP 50,,,863.32,,218.06,24836438.0,2004-02-03
NIFTY MIDCAP 50,,,891.79,,237.5,25274380.0,2004-02-04
NIFTY MIDCAP 50,,,899.89,,224.18,23600438.0,2004-02-05
NIFTY MIDCAP 50,,,909.86,,193.63,20757416.0,2004-02-06
NIFTY MIDCAP 50,,,933.44,,223.63,22826950.0,2004-02-09
NIFTY MIDCAP 50,,,935.31,,206.17,23178439.0,2004-02-10
NIFTY MIDCAP 50,,,945.49,,209.5,25692093.0,2004-02-11
NIFTY MIDCAP 50,,,961.76,,298.42,33799580.0,2004-02-12
NIFTY MIDCAP 50,,,968.39,,240.41,24330934.0,2004-02-13
NIFTY MIDCAP 50,,,977.27,,224.0,22734643.0,2004-02-16
NIFTY MIDCAP 50,,,976.23,,202.39,18535697.0,2004-02-17
NIFTY MIDCAP 50,,,975.95,,203.54,16567852.0,2004-02-18
NIFTY MIDCAP 50,,,952.66,,239.03,19308553.0,2004-02-19
NIFTY MIDCAP 50,,,949.54,,226.14,19063157.0,2004-02-20
NIFTY MIDCAP 50,,,928.24,,168.11,15872000.0,2004-02-23
NIFTY MIDCAP 50,,,928.78,,155.28,14734562.0,2004-02-24
NIFTY MIDCAP 50,,,920.02,,178.25,15357569.0,2004-02-25
NIFTY MIDCAP 50,,,912.89,,188.35,17698502.0,2004-02-26
NIFTY MIDCAP 50,,,922.42,,136.87,15242305.0,2004-02-27
NIFTY MIDCAP 50,,,938.64,,172.02,16155060.0,2004-03-01
