INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
CNX 200,,,1000.0,,,,2004-01-01
CNX 200,,,1030.18,,,,2004-01-02
CNX 200,,,1035.52,,,,2004-01-05
CNX 200,,,1017.51,,,,2004-01-06
CNX 200,,,1013.45,,,,2004-01-07
CNX 200,,,1047.62,,,,2004-01-08
CNX 200,,,1047.11,,,,2004-01-09
CNX 200,,,1030.53,,,,2004-01-12
CNX 200,,,1032.99,,,,2004-01-13
CNX 200,,,1040.89,,,,2004-01-14
CNX 200,,,1025.47,,,,2004-01-15
CNX 200,,,998.1,,,,2004-01-16
CNX 200,,,1013.72,,,,2004-01-19
CNX 200,,,993.63,,,,2004-01-20
CNX 200,,,943.19,,,,2004-01-21
CNX 200,,,916.2,,,,2004-01-22
CNX 200,,,961.85,,,,2004-01-23
CNX 200,,,996.45,,,,2004-01-27
CNX 200,,,971.63,,,,2004-01-28
CNX 200,,,963.27,,,,2004-01-29
CNX 200,,,940.46,,,,2004-01-30
CNX 200,,,905.05,,,,2004-02-03
CNX 200,,,933.09,,,,2004-02-04
CNX 200,,,927.43,,,,2004-02-05
CNX 200,,,947.75,,,,2004-02-06
CNX 200,,,970.35,,,,2004-02-09
CNX 200,,,970.26,,,,2004-02-10
CNX 200,,,977.78,,,,2004-02-11
CNX 200,,,977.2,,,,2004-02-12
CNX 200,,,991.05,,,,2004-02-13
CNX 200,,,992.07,,,,2004-02-16
CNX 200,,,993.36,,,,2004-02-17
CNX 200,,,997.92,,,,2004-02-18
CNX 200,,,970.69,,,,2004-02-19
CNX 200,,,966.82,,,,2004-02-20
CNX 200,,,942.03,,,,2004-02-23
CNX 200,,,945.18,,,,2004-02-24
CNX 200,,,925.05,,,,2004-02-25
CNX 200,,,918.09,,,,2004-02-26
CNX 200,,,933.7,,,,2004-02-27
CNX 200,,,961.25,,,,2004-03-01
CNX 200,,,963.48,,,,2004-03-03
CNX 200,,,958.49,,,,2004-03-04
CNX 200,,,976.39,,,,2004-03-05
CNX 200,,,995.78,,,,2004-03-08
CNX 200,,,984.75,,,,2004-03-09
CNX 200,,,975.3,,,,2004-03-10
CNX 200,,,956.95,,,,2004-03-11
CNX 200,,,956.39,,,,2004-03-12
CNX 200,,,930.7,,,,2004-03-15
CNX 200,,,927.37,,,,2004-03-16
CNX 200,,,932.51,,,,2004-03-17
CNX 200,,,917.84,,,,2004-03-18
CNX 200,,,920.88,,,,2004-03-19
CNX 200,,,898.07,,,,2004-03-22
CNX 200,,,898.94,,,,2004-03-23
CNX 200,,,899.39,,,,2004-03-24
CNX 200,,,906.75,,,,2004-03-25
CNX 200,,,927.47,,,,2004-03-26
CNX 200,,,936.91,,,,2004-03-29
CNX 200,,,934.77,,,,2004-03-30
CNX 200,,,945.32,,,,2004-03-31
CNX 200,,,966.68,,,,2004-04-01
CNX 200,,,981.13,,,,2004-04-02
CNX 200,,,987.86,,,,2004-04-05
CNX 200,,,983.61,,,,2004-04-06
CNX 200,,,983.04,,,,2004-04-07
CNX 200,,,992.65,,,,2004-04-08
CNX 200,,,989.08,,,,2004-04-12
CNX 200,,,1009.44,,,,2004-04-13
CNX 200,,,1007.09,,,,2004-04-15
CNX 200,,,1011.79,,,,2004-04-16
CNX 200,,,1013.69,,,,2004-04-17
CNX 200,,,998.08,,,,2004-04-19
CNX 200,,,997.25,,,,2004-04-20
CNX 200,,,1014.06,,,,2004-04-21
CNX 200,,,1025.69,,,,2004-04-22
CNX 200,,,1027.74,,,,2004-04-23
CNX 200,,,984.22,,,,2004-04-27
CNX 200,,,982.03,,,,2004-04-28
CNX 200,,,981.19,,,,2004-04-29
CNX 200,,,973.61,,,,2004-04-30
CNX 200,,,955.92,,,,2004-05-03
CNX 200,,,973.13,,,,2004-05-04
CNX 200,,,982.08,,,,2004-05-05
CNX 200,,,996.5,,,,2004-05-06
CNX 200,,,982.62,,,,2004-05-07
CNX 200,,,963.64,,,,2004-05-10
CNX 200,,,920.5,,,,2004-05-11
CNX 200,,,927.64,,,,2004-05-12
CNX 200,,,926.05,,,,2004-05-13
CNX 200,,,843.98,,,,2004-05-14
CNX 200,,,740.97,,,,2004-05-17
CNX 200,,,800.96,,,,2004-05-18
CNX 200,,,842.33,,,,2004-05-19
CNX 200,,,833.28,,,,2004-05-20
CNX 200,,,837.63,,,,2004-05-21
CNX 200,,,860.15,,,,2004-05-24
CNX 200,,,858.81,,,,2004-05-25
CNX 200,,,858.42,,,,2004-05-26
CNX 200,,,850.04,,,,2004-05-27
CNX 200,,,808.21,,,,2004-05-28
CNX 200,,,788.86,,,,2004-05-31
CNX 200,,,803.14,,,,2004-06-01
CNX 200,,,817.95,,,,2004-06-02
CNX 200,,,798.68,,,,2004-06-03
CNX 200,,,810.6,,,,2004-06-04
CNX 200,,,821.5,,,,2004-06-07
CNX 200,,,825.98,,,,2004-06-08
CNX 200,,,827.61,,,,2004-06-09
CNX 200,,,826.79,,,,2004-06-10
CNX 200,,,808.33,,,,2004-06-11
CNX 200,,,791.03,,,,2004-06-14
CNX 200,,,801.11,,,,2004-06-15
CNX 200,,,798.12,,,,2004-06-16
CNX 200,,,805.37,,,,2004-06-17
CNX 200,,,795.6,,,,2004-06-18
CNX 200,,,789.75,,,,2004-06-21
