INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY MIDCAP 100,12747.95,13111.9,13073.8,12712.15,3143.21,217157317.0,2015-11-09
NIFTY MIDCAP 100,13058.05,13091.35,12851.25,12840.3,3354.65,245104303.0,2015-11-10
NIFTY MIDCAP 100,12959.7,12996.85,12991.45,12959.7,430.38,38423317.0,2015-11-11
NIFTY MIDCAP 100,12922.65,12931.05,12885.95,12818.55,3453.01,195940544.0,2015-11-13
NIFTY MIDCAP 100,12862.95,12917.3,12883.85,12809.5,2948.63,190432089.0,2015-11-16
NIFTY MIDCAP 100,12952.6,12985.0,12959.55,12905.05,3126.05,177673798.0,2015-11-17
NIFTY MIDCAP 100,12973.2,13013.35,12877.3,12855.0,2853.95,167395604.0,2015-11-18
NIFTY MIDCAP 100,12954.35,13010.95,13003.75,12915.55,2537.85,166463706.0,2015-11-19
NIFTY MIDCAP 100,13032.4,13142.95,13089.9,13032.4,3845.48,241623290.0,2015-11-20
NIFTY MIDCAP 100,13134.35,13167.3,13116.1,13106.4,2841.33,157894310.0,2015-11-23
NIFTY MIDCAP 100,13120.45,13174.85,13128.6,13111.15,3317.36,198488354.0,2015-11-24
NIFTY MIDCAP 100,13165.85,13206.2,13180.9,13153.5,4852.45,284942360.0,2015-11-26
NIFTY MIDCAP 100,13227.75,13271.15,13228.25,13171.2,3315.89,215828212.0,2015-11-27
NIFTY MIDCAP 100,13243.7,13294.1,13248.7,13242.95,6655.42,390567471.0,2015-11-30
NIFTY MIDCAP 100,13294.4,13366.5,13357.5,13294.4,3608.95,259847985.0,2015-12-01
NIFTY MIDCAP 100,13397.95,13400.55,13359.7,13308.5,3184.79,185401385.0,2015-12-02
NIFTY MIDCAP 100,13336.65,13364.25,13287.4,13273.05,3829.47,237471342.0,2015-12-03
NIFTY MIDCAP 100,13215.85,13276.8,13190.9,13174.45,3499.76,265268603.0,2015-12-04
NIFTY MIDCAP 100,13253.9,13273.65,13183.05,13179.7,2704.71,168163663.0,2015-12-07
NIFTY MIDCAP 100,13151.6,13213.55,13022.65,13009.65,2727.46,197256892.0,2015-12-08
NIFTY MIDCAP 100,13009.95,13021.65,12792.85,12763.2,3425.9,225560664.0,2015-12-09
NIFTY MIDCAP 100,12848.3,12912.35,12904.8,12726.65,3662.38,209613529.0,2015-12-10
NIFTY MIDCAP 100,12942.6,12980.95,12807.6,12766.65,3478.96,205253371.0,2015-12-11
NIFTY MIDCAP 100,12781.55,12909.25,12867.65,12748.65,2816.19,171741727.0,2015-12-14
NIFTY MIDCAP 100,12893.95,12945.1,12940.65,12875.55,2547.51,147212629.0,2015-12-15
NIFTY MIDCAP 100,13009.9,13082.5,12994.25,12986.6,3240.82,206582919.0,2015-12-16
NIFTY MIDCAP 100,13072.1,13228.8,13220.85,13065.7,3879.22,239632067.0,2015-12-17
NIFTY MIDCAP 100,13214.9,13276.7,13177.9,13168.1,3747.68,225027070.0,2015-12-18
NIFTY MIDCAP 100,13205.75,13289.3,13279.7,13183.65,2597.0,173209888.0,2015-12-21
