INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
S&P CNX NIFTY,1482.15,1592.9,1592.2,1482.15,884.15,25358322,2000-01-03
S&P CNX NIFTY,1594.4,1641.95,1638.7,1594.4,1973.69,38787872,2000-01-04
S&P CNX NIFTY,1634.55,1635.5,1595.8,1555.05,3084.79,62153431,2000-01-05
S&P CNX NIFTY,1595.8,1639.0,1617.6,1595.8,2531.18,51272875,2000-01-06
S&P CNX NIFTY,1616.6,1628.25,1613.3,1597.2,1914.63,54315945,2000-01-07
S&P CNX NIFTY,1615.65,1662.1,1632.95,1614.95,2375.35,45013949,2000-01-10
S&P CNX NIFTY,1633.25,1639.9,1572.5,1548.25,2596.95,49120254,2000-01-11
S&P CNX NIFTY,1572.3,1631.55,1624.8,1571.7,1895.0,38364961,2000-01-12
S&P CNX NIFTY,1627.85,1671.15,1621.4,1613.65,2237.61,44738447,2000-01-13
S&P CNX NIFTY,1622.15,1627.4,1622.75,1591.4,1979.98,43292009,2000-01-14
S&P CNX NIFTY,1623.5,1668.45,1611.6,1604.65,2161.59,42683260,2000-01-17
S&P CNX NIFTY,1611.65,1615.15,1606.7,1587.85,1787.35,37564199,2000-01-18
S&P CNX NIFTY,1610.05,1644.45,1634.85,1608.85,2162.92,42981295,2000-01-19
S&P CNX NIFTY,1634.65,1644.4,1601.1,1596.65,2016.77,42625471,2000-01-20
S&P CNX NIFTY,1601.25,1626.5,1620.6,1593.2,2012.48,39715905,2000-01-21
S&P CNX NIFTY,1623.05,1645.0,1613.6,1608.3,1905.45,34726595,2000-01-24
S&P CNX NIFTY,1612.95,1613.65,1586.4,1579.55,1884.76,36881758,2000-01-25
S&P CNX NIFTY,1600.5,1633.55,1603.9,1600.05,1956.9,38102878,2000-01-27
S&P CNX NIFTY,1603.65,1610.9,1599.1,1592.7,2147.53,46563431,2000-01-28
S&P CNX NIFTY,1598.35,1598.35,1546.2,1538.7,1501.04,36153239,2000-01-31
S&P CNX NIFTY,1546.2,1554.15,1549.5,1521.4,1692.07,37161352,2000-02-01
S&P CNX NIFTY,1554.2,1605.9,1588.0,1554.2,1760.18,39358471,2000-02-02
S&P CNX NIFTY,1591.25,1616.7,1597.9,1591.25,1538.89,40826374,2000-02-03
S&P CNX NIFTY,1598.5,1621.35,1599.75,1596.45,1694.66,30459542,2000-02-04
S&P CNX NIFTY,1599.8,1645.9,1636.6,1599.8,2036.07,34666978,2000-02-07
S&P CNX NIFTY,1636.6,1676.1,1662.75,1636.6,1975.29,40722843,2000-02-08
S&P CNX NIFTY,1666.95,1731.65,1689.65,1666.7,2096.0,41767017,2000-02-09
S&P CNX NIFTY,1692.1,1713.7,1711.2,1692.1,1664.86,30110126,2000-02-10
S&P CNX NIFTY,1712.85,1771.65,1756.0,1712.85,1834.58,33406798,2000-02-11
S&P CNX NIFTY,1777.75,1795.45,1744.5,1738.75,1728.72,31621011,2000-02-14
S&P CNX NIFTY,1744.5,1744.5,1702.55,1694.45,2370.94,39135619,2000-02-15
S&P CNX NIFTY,1704.85,1742.8,1711.1,1704.15,1811.4,31314383,2000-02-16
S&P CNX NIFTY,1710.05,1753.1,1742.1,1710.05,1822.56,28333952,2000-02-17
S&P CNX NIFTY,1742.3,1764.15,1717.8,1713.45,1473.39,24491796,2000-02-18
S&P CNX NIFTY,1719.55,1767.8,1753.5,1719.55,1918.38,26015488,2000-02-21
S&P CNX NIFTY,1754.2,1781.05,1739.05,1733.55,2416.67,33425078,2000-02-22
S&P CNX NIFTY,1745.2,1818.15,1696.4,1689.2,2389.28,27905642,2000-02-23
S&P CNX NIFTY,1696.4,1751.6,1732.0,1693.1,1915.24,23492408,2000-02-24
S&P CNX NIFTY,1734.05,1757.05,1710.45,1699.25,1235.84,19458640,2000-02-25
S&P CNX NIFTY,1711.15,1726.65,1722.55,1670.75,1486.21,27266318,2000-02-28
S&P CNX NIFTY,1722.85,1783.3,1654.8,1626.35,3207.0,49498835,2000-02-29
S&P CNX NIFTY,1661.5,1727.9,1712.7,1630.0,1722.99,37586272,2000-03-01
S&P CNX NIFTY,1713.65,1773.85,1696.55,1690.05,1458.68,42276125,2000-03-02
S&P CNX NIFTY,1696.45,1719.15,1656.0,1644.4,1748.95,29500370,2000-03-03
S&P CNX NIFTY,1656.0,1721.0,1688.5,1656.0,1503.59,32426509,2000-03-06
S&P CNX NIFTY,1711.85,1730.85,1702.75,1684.9,1955.02,36861204,2000-03-07
S&P CNX NIFTY,1717.75,1765.25,1666.35,1654.45,2436.16,30249973,2000-03-08
S&P CNX NIFTY,1667.45,1692.25,1646.25,1595.45,2343.6,27734646,2000-03-09
S&P CNX NIFTY,1647.85,1680.45,1602.75,1588.2,1846.44,23714154,2000-03-10
S&P CNX NIFTY,1601.4,1645.0,1560.7,1553.45,2339.72,32025029,2000-03-13
S&P CNX NIFTY,1561.55,1571.3,1567.05,1503.2,2101.66,37965722,2000-03-14
S&P CNX NIFTY,1546.8,1630.95,1620.1,1538.7,1975.52,28895834,2000-03-15
S&P CNX NIFTY,1620.4,1621.2,1562.2,1554.3,1873.92,33981961,2000-03-16
S&P CNX NIFTY,1563.3,1585.25,1556.6,1542.65,2021.33,30768798,2000-03-21
S&P CNX NIFTY,1551.05,1604.0,1589.6,1551.05,1582.53,26938367,2000-03-22
S&P CNX NIFTY,1590.3,1629.2,1553.4,1544.5,1645.35,21308741,2000-03-23
S&P CNX NIFTY,1554.2,1579.4,1569.55,1540.45,1352.2,15407574,2000-03-24
S&P CNX NIFTY,1570.45,1593.3,1562.95,1555.75,1218.6,19049762,2000-03-27
S&P CNX NIFTY,1563.3,1575.85,1568.6,1527.55,1838.22,28174402,2000-03-28
S&P CNX NIFTY,1569.3,1609.4,1558.25,1553.4,1468.66,32288722,2000-03-29
S&P CNX NIFTY,1556.95,1557.85,1549.5,1489.1,1562.26,38871150,2000-03-30
S&P CNX NIFTY,1545.55,1545.55,1528.45,1493.9,1757.77,49680971,2000-03-31
S&P CNX NIFTY,1528.7,1555.5,1534.75,1510.75,1638.46,50909584,2000-04-03
S&P CNX NIFTY,1534.05,1534.05,1428.1,1420.85,1071.07,42180348,2000-04-04
S&P CNX NIFTY,1428.5,1467.4,1434.65,1391.65,1880.26,49400946,2000-04-05
S&P CNX NIFTY,1436.15,1475.25,1452.95,1381.05,1850.96,40869843,2000-04-06
S&P CNX NIFTY,1453.3,1558.05,1557.15,1453.3,1272.2,49468064,2000-04-07
S&P CNX NIFTY,1557.55,1636.95,1613.0,1557.55,1932.64,67959549,2000-04-10
S&P CNX NIFTY,1613.0,1631.6,1624.65,1550.85,2042.24,34966347,2000-04-11
S&P CNX NIFTY,1624.4,1628.55,1592.7,1586.0,2074.92,35323588,2000-04-12
S&P CNX NIFTY,1587.95,1587.95,1518.65,1502.7,1207.87,20985552,2000-04-13
S&P CNX NIFTY,1518.55,1518.55,1443.55,1412.45,1109.7,47786700,2000-04-17
S&P CNX NIFTY,1443.55,1478.85,1414.8,1410.0,1311.69,30055064,2000-04-18
S&P CNX NIFTY,1417.75,1469.05,1404.95,1375.05,1939.59,38873392,2000-04-19
