date,price,open,high,low,change %,vol,perc_chg
2012-10-23,996.82,"1,007.21","1,007.90",995.16,-1.04%,,
2012-10-24,994.55,995.08,996.72,992.74,-0.23%,,
2012-10-25,999.12,994.05,"1,001.05",993.62,0.46%,,
2012-10-26,990.7,998.6,999.88,988.45,-0.84%,,
2012-10-29,990.24,991.27,993.37,987.53,-0.05%,,
2012-10-30,993.15,989.99,993.85,989.63,0.29%,,
2012-10-31,995.33,994.17,998.04,993.93,0.22%,,
2012-11-01,999.63,994.55,"1,000.26",989.8,0.43%,,
2012-11-02,"1,004.68","1,002.09","1,006.15","1,001.49",0.51%,,
2012-11-05,"1,000.80","1,002.62","1,004.15",997.83,-0.39%,,
2012-11-06,"1,006.27","1,000.86","1,007.49",998.71,0.55%,,
2012-11-07,"1,007.45","1,007.37","1,014.06","1,005.67",0.12%,,
2012-11-08,995.31,"1,003.75","1,004.11",994.57,-1.21%,,
2012-11-09,990.98,993.64,996.2,987.8,-0.44%,,
2012-11-12,989.16,991.14,992.73,988.38,-0.18%,,
2012-11-13,982.17,989.14,989.27,978.72,-0.71%,,
2012-11-14,980.62,982.44,986.79,980.28,-0.16%,,
2012-11-15,974.33,978.56,978.99,972.82,-0.64%,,
2012-11-16,969.82,974,975.34,967.82,-0.46%,,
2012-11-19,977.98,971.58,978.75,971.58,0.84%,,
2012-11-20,979.49,979.43,982.94,977.98,0.15%,,
2012-11-21,980.84,980.21,982.05,976.14,0.14%,,
2012-11-22,985.72,981.92,986.42,981.7,0.50%,,
2012-11-23,995.94,985.02,996.7,984.8,1.04%,,
2012-11-26,995.1,997.14,998.47,994.07,-0.08%,,
2012-11-27,996.44,995.46,"1,000.24",995.43,0.13%,,
2012-11-28,991.27,994.79,995.08,987.61,-0.52%,,
