Reporting Date,Debt/Equity,Investment Route,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
21-Feb-13,Equity,Primary market & others,30.8,28.5,2.3,0.43,Rs.54.0510,
21-Feb-13,Equity,Sub-total,3160.9,2706.3,454.6,84.11,Rs.54.0510,
22-Feb-13,Equity,Stock Exchange,4469.4,3287.3,1182,216.97,Rs.54.4800,
22-Feb-13,Equity,Primary market & others,0.5,27.6,-27.1,-4.98,Rs.54.4800,
22-Feb-13,Equity,Sub-total,4469.9,3315,1154.9,211.99,Rs.54.4800,
25-Feb-13,Equity,Stock Exchange,2901.8,2621.7,280.2,51.48,Rs.54.4270,
25-Feb-13,Equity,Primary market & others,1.1,69,-68,-12.49,Rs.54.4270,
25-Feb-13,Equity,Sub-total,2902.9,2690.7,212.2,38.99,Rs.54.4270,
26-Feb-13,Equity,Stock Exchange,2537,2269,267.9,49.58,Rs.54.0415,
26-Feb-13,Equity,Primary market & others,0,2,-2,-0.36,Rs.54.0415,
26-Feb-13,Equity,Sub-total,2537,2271,266,49.21,Rs.54.0415,
27-Feb-13,Equity,Stock Exchange,3124,3047.2,76.8,14.2,Rs.54.0645,
27-Feb-13,Equity,Primary market & others,7.3,1.1,6.2,1.15,Rs.54.0645,
27-Feb-13,Equity,Sub-total,3131.3,3048.3,83,15.35,Rs.54.0645,
28-Feb-13,Equity,Stock Exchange,3672.9,3533.1,139.8,25.97,Rs.53.8350,
28-Feb-13,Equity,Primary market & others,703.1,0.3,702.9,130.56,Rs.53.8350,
28-Feb-13,Equity,Sub-total,4376,3533.3,842.7,156.53,Rs.53.8350,
01-Mar-13,Equity,Stock Exchange,7181.7,8456.3,-1274.6,-237.03,Rs.53.7735,
01-Mar-13,Equity,Primary market & others,0.1,0.2,0,-0.01,Rs.53.7735,
01-Mar-13,Equity,Sub-total,7181.8,8456.4,-1274.6,-237.04,Rs.53.7735,
04-Mar-13,Equity,Stock Exchange,3070.6,2154.3,916.3,168.19,Rs.54.4815,
04-Mar-13,Equity,Primary market & others,0,0.9,-0.9,-0.17,Rs.54.4815,
04-Mar-13,Equity,Sub-total,3070.6,2155.3,915.4,168.01,Rs.54.4815,
05-Mar-13,Equity,Stock Exchange,3455.3,3433.8,21.5,3.91,Rs.55.0518,
05-Mar-13,Equity,Primary market & others,105.2,6,99.2,18.02,Rs.55.0518,
05-Mar-13,Equity,Sub-total,3560.5,3439.9,120.7,21.92,Rs.55.0518,
06-Mar-13,Equity,Stock Exchange,3471.8,3215.3,256.6,46.94,Rs.54.6520,
06-Mar-13,Equity,Primary market & others,48.1,0.4,47.7,8.74,Rs.54.6520,
06-Mar-13,Equity,Sub-total,3520,3215.7,304.3,55.68,Rs.54.6520,
07-Mar-13,Equity,Stock Exchange,3622.8,2970.9,651.9,119.17,Rs.54.7065,
07-Mar-13,Equity,Primary market & others,0,1.2,-1.2,-0.22,Rs.54.7065,
07-Mar-13,Equity,Sub-total,3622.8,2972.1,650.7,118.95,Rs.54.7065,
08-Mar-13,Equity,Stock Exchange,3216.1,2554.9,661.2,120.79,Rs.54.7393,
08-Mar-13,Equity,Primary market & others,33.6,0.4,33.2,6.06,Rs.54.7393,
08-Mar-13,Equity,Sub-total,3249.7,2555.3,694.4,126.85,Rs.54.7393,
11-Mar-13,Equity,Stock Exchange,3442.6,2075.6,1367,251.27,Rs.54.4035,
11-Mar-13,Equity,Primary market & others,0,0,0,-0.01,Rs.54.4035,
11-Mar-13,Equity,Sub-total,3442.6,2075.6,1366.9,251.26,Rs.54.4035,
12-Mar-13,Equity,Stock Exchange,3205.1,2197.8,1007.3,185.52,Rs.54.2933,
12-Mar-13,Equity,Primary market & others,0,0.6,-0.6,-0.11,Rs.54.2933,
12-Mar-13,Equity,Sub-total,3205.1,2198.4,1006.7,185.42,Rs.54.2933,
13-Mar-13,Equity,Stock Exchange,2781.4,2002.4,779,143.37,Rs.54.3365,
13-Mar-13,Equity,Primary market & others,2.1,0.1,2,0.38,Rs.54.3365,
13-Mar-13,Equity,Sub-total,2783.5,2002.5,781.1,143.75,Rs.54.3365,
14-Mar-13,Equity,Stock Exchange,2503.6,2198.8,304.7,56.31,Rs.54.1100,
14-Mar-13,Equity,Primary market & others,0,1.9,-1.9,-0.36,Rs.54.1100,
14-Mar-13,Equity,Sub-total,2503.6,2200.8,302.8,55.95,Rs.54.1100,
15-Mar-13,Equity,Stock Exchange,3222.5,2649.7,572.8,105.21,Rs.54.4420,
15-Mar-13,Equity,Primary market & others,0,0.2,-0.2,-0.04,Rs.54.4420,
15-Mar-13,Equity,Sub-total,3222.5,2650,572.5,105.17,Rs.54.4420,
18-Mar-13,Equity,Stock Exchange,4454.9,3282.1,1172.8,216.54,Rs.54.1605,
18-Mar-13,Equity,Primary market & others,0.1,0.4,-0.3,-0.05,Rs.54.1605,
18-Mar-13,Equity,Sub-total,4455.1,3282.6,1172.5,216.49,Rs.54.1605,
19-Mar-13,Equity,Stock Exchange,2700.8,2165,535.8,98.69,Rs.54.2915,
19-Mar-13,Equity,Primary market & others,0,0.4,-0.4,-0.08,Rs.54.2915,
19-Mar-13,Equity,Sub-total,2700.8,2165.5,535.4,98.61,Rs.54.2915,
20-Mar-13,Equity,Stock Exchange,3931.6,3783.5,148.1,27.3,Rs.54.2635,
20-Mar-13,Equity,Primary market & others,0.2,1.7,-1.5,-0.28,Rs.54.2635,
20-Mar-13,Equity,Sub-total,3931.8,3785.2,146.6,27.01,Rs.54.2635,
21-Mar-13,Equity,Stock Exchange,3369.3,3526.2,-156.8,-28.84,Rs.54.3780,
21-Mar-13,Equity,Primary market & others,0.2,3.1,-3,-0.55,Rs.54.3780,
21-Mar-13,Equity,Sub-total,3369.5,3529.3,-159.8,-29.39,Rs.54.3780,
22-Mar-13,Equity,Stock Exchange,3482.7,3069.8,412.9,76.07,Rs.54.2810,
22-Mar-13,Equity,Primary market & others,0,1.8,-1.8,-0.32,Rs.54.2810,
22-Mar-13,Equity,Sub-total,3482.7,3071.5,411.2,75.75,Rs.54.2810,
25-Mar-13,Equity,Stock Exchange,2985,2929.9,55.1,10.14,Rs.54.3350,
25-Mar-13,Equity,Primary market & others,149.3,0.6,148.8,27.38,Rs.54.3350,
25-Mar-13,Equity,Sub-total,3134.3,2930.4,203.9,37.52,Rs.54.3350,
26-Mar-13,Equity,Stock Exchange,3371.6,2602.5,769.1,142.17,Rs.54.0990,
26-Mar-13,Equity,Primary market & others,38.5,0.8,37.8,6.99,Rs.54.0990,
26-Mar-13,Equity,Sub-total,3410.2,2603.3,806.9,149.15,Rs.54.0990,
28-Mar-13,Equity,Stock Exchange,2898.7,2345.9,552.8,101.85,Rs.54.2735,
28-Mar-13,Equity,Primary market & others,20.8,6.9,13.9,2.57,Rs.54.2735,
28-Mar-13,Equity,Sub-total,2919.5,2352.8,566.7,104.42,Rs.54.2735,
02-Apr-13,Equity,Stock Exchange,7909.5,6801.8,1107.8,203.67,Rs.54.3893,
02-Apr-13,Equity,Primary market & others,160,5.7,154.3,28.36,Rs.54.3893,
02-Apr-13,Equity,Sub-total,8069.5,6807.5,1262,232.03,Rs.54.3893,
03-Apr-13,Equity,Stock Exchange,1988.7,2009.2,-20.5,-3.78,Rs.54.3345,
03-Apr-13,Equity,Primary market & others,0,9.3,-9.3,-1.7,Rs.54.3345,
03-Apr-13,Equity,Sub-total,1988.7,2018.5,-29.8,-5.48,Rs.54.3345,
04-Apr-13,Equity,Stock Exchange,2355.8,2707.4,-351.6,-64.65,Rs.54.3885,
04-Apr-13,Equity,Primary market & others,10.1,3.3,6.8,1.25,Rs.54.3885,
04-Apr-13,Equity,Sub-total,2365.9,2710.7,-344.8,-63.4,Rs.54.3885,
05-Apr-13,Equity,Stock Exchange,1948.1,2188,-239.9,-43.9,Rs.54.6460,
05-Apr-13,Equity,Primary market & others,5.8,14,-8.2,-1.5,Rs.54.6460,
05-Apr-13,Equity,Sub-total,1953.9,2202,-248.1,-45.4,Rs.54.6460,
08-Apr-13,Equity,Stock Exchange,2018.4,2157.1,-138.7,-25.28,Rs.54.8803,
08-Apr-13,Equity,Primary market & others,16.5,0.5,16,2.92,Rs.54.8803,
08-Apr-13,Equity,Sub-total,2034.9,2157.6,-122.7,-22.36,Rs.54.8803,
09-Apr-13,Equity,Stock Exchange,1553.6,1657.8,-104.2,-19.04,Rs.54.7215,
09-Apr-13,Equity,Primary market & others,0,0,0,0,Rs.54.7215,
09-Apr-13,Equity,Sub-total,1553.6,1657.8,-104.2,-19.04,Rs.54.7215,
10-Apr-13,Equity,Stock Exchange,2080.1,2704.6,-624.5,-114.66,Rs.54.4613,
10-Apr-13,Equity,Primary market & others,11.3,5.8,5.5,1.02,Rs.54.4613,
10-Apr-13,Equity,Sub-total,2091.4,2710.3,-618.9,-113.64,Rs.54.4613,
12-Apr-13,Equity,Stock Exchange,6248.4,6089.1,159.3,29.2,Rs.54.5340,
12-Apr-13,Equity,Primary market & others,5.7,0.5,5.2,0.96,Rs.54.5340,
12-Apr-13,Equity,Sub-total,6254.1,6089.6,164.5,30.16,Rs.54.5340,
15-Apr-13,Equity,Stock Exchange,2858.9,2811.2,47.7,8.76,Rs.54.4425,
15-Apr-13,Equity,Primary market & others,48.8,3.3,45.5,8.35,Rs.54.4425,
15-Apr-13,Equity,Sub-total,2907.7,2814.5,93.2,17.11,Rs.54.4425,
16-Apr-13,Equity,Stock Exchange,2831.2,3219.5,-388.3,-71.08,Rs.54.6260,
16-Apr-13,Equity,Primary market & others,53.5,2.8,50.8,9.29,Rs.54.6260,
16-Apr-13,Equity,Sub-total,2884.8,3222.3,-337.5,-61.79,Rs.54.6260,
17-Apr-13,Equity,Stock Exchange,3083.7,2449.8,633.8,116.67,Rs.54.3290,
17-Apr-13,Equity,Primary market & others,5.7,0.6,5.1,0.94,Rs.54.3290,
17-Apr-13,Equity,Sub-total,3089.4,2450.4,638.9,117.6,Rs.54.3290,
18-Apr-13,Equity,Stock Exchange,3630.9,3396.2,234.7,43.51,Rs.53.9423,
18-Apr-13,Equity,Primary market & others,8.6,0,8.6,1.59,Rs.53.9423,
18-Apr-13,Equity,Sub-total,3639.5,3396.2,243.3,45.1,Rs.53.9423,
22-Apr-13,Equity,Stock Exchange,3668.8,2631.1,1037.8,192.07,Rs.54.0298,
22-Apr-13,Equity,Primary market & others,7.9,12.7,-4.9,-0.9,Rs.54.0298,
22-Apr-13,Equity,Sub-total,3676.7,2643.8,1032.9,191.17,Rs.54.0298,
23-Apr-13,Equity,Stock Exchange,3555.4,2744.2,811.3,149.78,Rs.54.1665,
23-Apr-13,Equity,Primary market & others,10.3,0.2,10.1,1.86,Rs.54.1665,
23-Apr-13,Equity,Sub-total,3565.7,2744.4,821.3,151.63,Rs.54.1665,
25-Apr-13,Equity,Stock Exchange,2493.2,2035.4,457.8,84.31,Rs.54.2995,
25-Apr-13,Equity,Primary market & others,0,4.1,-4.1,-0.76,Rs.54.2995,
25-Apr-13,Equity,Sub-total,2493.2,2039.5,453.7,83.55,Rs.54.2995,
26-Apr-13,Equity,Stock Exchange,6221,4663.2,1557.8,287.56,Rs.54.1715,
26-Apr-13,Equity,Primary market & others,0,11.6,-11.6,-2.14,Rs.54.1715,
26-Apr-13,Equity,Sub-total,6221,4674.8,1546.2,285.42,Rs.54.1715,
29-Apr-13,Equity,Stock Exchange,3345.7,3058.3,287.5,52.95,Rs.54.2935,
29-Apr-13,Equity,Primary market & others,21.7,5.8,15.9,2.92,Rs.54.2935,
29-Apr-13,Equity,Sub-total,3367.4,3064,303.4,55.88,Rs.54.2935,
30-Apr-13,Equity,Stock Exchange,2849.9,2186.3,663.6,122.26,Rs.54.2770,
30-Apr-13,Equity,Primary market & others,0,2.9,-2.9,-0.53,Rs.54.2770,
30-Apr-13,Equity,Sub-total,2849.9,2189.2,660.7,121.73,Rs.54.2770,
02-May-13,Equity,Stock Exchange,3701.3,2749.1,952.2,175.62,Rs.54.2190,
02-May-13,Equity,Primary market & others,41.9,0.9,41,7.56,Rs.54.2190,
02-May-13,Equity,Sub-total,3743.2,2750.1,993.2,183.18,Rs.54.2190,
03-May-13,Equity,Stock Exchange,4706.1,3110.8,1595.3,296.89,Rs.53.7355,
03-May-13,Equity,Primary market & others,25.7,7.9,17.8,3.31,Rs.53.7355,
03-May-13,Equity,Sub-total,4731.8,3118.6,1613.1,300.2,Rs.53.7355,
06-May-13,Equity,Stock Exchange,2902.9,1905.5,997.4,184.87,Rs.53.9510,
06-May-13,Equity,Primary market & others,63.9,0.3,63.6,11.78,Rs.53.9510,
06-May-13,Equity,Sub-total,2966.8,1905.9,1061,196.65,Rs.53.9510,
07-May-13,Equity,Stock Exchange,2404.8,1485.5,919.3,170.4,Rs.53.9495,
07-May-13,Equity,Primary market & others,0.8,0.3,0.5,0.1,Rs.53.9495,
07-May-13,Equity,Sub-total,2405.6,1485.8,919.8,170.5,Rs.53.9495,
08-May-13,Equity,Stock Exchange,3448.2,2353.3,1094.9,201.73,Rs.54.2770,
08-May-13,Equity,Primary market & others,1.5,0.9,0.6,0.11,Rs.54.2770,
08-May-13,Equity,Sub-total,3449.7,2354.2,1095.5,201.83,Rs.54.2770,
09-May-13,Equity,Stock Exchange,3045.6,2051.6,994,183.53,Rs.54.1600,
09-May-13,Equity,Primary market & others,105.9,50.7,55.3,10.2,Rs.54.1600,
09-May-13,Equity,Sub-total,3151.5,2102.3,1049.3,193.73,Rs.54.1600,
10-May-13,Equity,Stock Exchange,2254.4,1585.8,668.7,123.28,Rs.54.2415,
10-May-13,Equity,Primary market & others,126.4,2.3,124.2,22.89,Rs.54.2415,
10-May-13,Equity,Sub-total,2380.8,1588,792.8,146.17,Rs.54.2415,
13-May-13,Equity,Stock Exchange,2398.1,1808.6,589.5,108.08,Rs.54.5413,
13-May-13,Equity,Primary market & others,0,0.2,-0.1,-0.03,Rs.54.5413,
13-May-13,Equity,Sub-total,2398.1,1808.8,589.3,108.05,Rs.54.5413,
14-May-13,Equity,Stock Exchange,1875.2,1580.3,294.9,53.69,Rs.54.9150,
14-May-13,Equity,Primary market & others,222.1,36.1,186,33.87,Rs.54.9150,
14-May-13,Equity,Sub-total,2097.2,1616.4,480.8,87.56,Rs.54.9150,
15-May-13,Equity,Stock Exchange,2281.8,1813,468.7,85.8,Rs.54.6275,
15-May-13,Equity,Primary market & others,0,12.3,-12.3,-2.26,Rs.54.6275,
15-May-13,Equity,Sub-total,2281.8,1825.4,456.4,83.55,Rs.54.6275,
16-May-13,Equity,Stock Exchange,4369,2668.1,1700.9,310.47,Rs.54.7835,
16-May-13,Equity,Primary market & others,0,0,0,0,Rs.54.7835,
16-May-13,Equity,Sub-total,4369,2668.1,1700.9,310.47,Rs.54.7835,
17-May-13,Equity,Stock Exchange,3911.3,2774.9,1136.4,207.48,Rs.54.7723,
17-May-13,Equity,Primary market & others,110.4,6.3,104.1,19.01,Rs.54.7723,
17-May-13,Equity,Sub-total,4021.7,2781.2,1240.5,226.49,Rs.54.7723,
20-May-13,Equity,Stock Exchange,3202.2,2243.9,958.3,174.6,Rs.54.8865,
20-May-13,Equity,Primary market & others,1.3,1.4,-0.1,-0.01,Rs.54.8865,
20-May-13,Equity,Sub-total,3203.5,2245.2,958.3,174.59,Rs.54.8865,
21-May-13,Equity,Stock Exchange,3050.6,2223,827.6,150.37,Rs.55.0368,
21-May-13,Equity,Primary market & others,208,1,206.9,37.6,Rs.55.0368,
21-May-13,Equity,Sub-total,3258.5,2224,1034.5,187.97,Rs.55.0368,
22-May-13,Equity,Stock Exchange,2849.3,2126.3,723,131.36,Rs.55.0395,
22-May-13,Equity,Primary market & others,1860.8,1.4,1859.4,337.83,Rs.55.0395,
22-May-13,Equity,Sub-total,4710.1,2127.8,2582.4,469.19,Rs.55.0395,
23-May-13,Equity,Stock Exchange,2796.8,2179.9,616.9,111.11,Rs.55.5220,
23-May-13,Equity,Primary market & others,1015.2,2.2,1013,182.45,Rs.55.5220,
23-May-13,Equity,Sub-total,3812,2182.1,1629.9,293.56,Rs.55.5220,
24-May-13,Equity,Stock Exchange,3786.1,3459.1,327,58.4,Rs.55.9910,
24-May-13,Equity,Primary market & others,0,6.9,-6.9,-1.24,Rs.55.9910,
24-May-13,Equity,Sub-total,3786.1,3466,320.1,57.16,Rs.55.9910,
27-May-13,Equity,Stock Exchange,2378.4,2559.2,-180.8,-32.52,Rs.55.6075,
27-May-13,Equity,Primary market & others,5.8,6.9,-1.1,-0.2,Rs.55.6075,
27-May-13,Equity,Sub-total,2384.2,2566.1,-181.9,-32.72,Rs.55.6075,
28-May-13,Equity,Stock Exchange,2538.9,2088.4,450.4,80.99,Rs.55.6198,
28-May-13,Equity,Primary market & others,0,62.6,-62.6,-11.25,Rs.55.6198,
28-May-13,Equity,Sub-total,2538.9,2151,387.8,69.73,Rs.55.6198,
29-May-13,Equity,Stock Exchange,2905.4,2100,805.4,144.48,Rs.55.7423,
29-May-13,Equity,Primary market & others,173.1,1.1,171.9,30.85,Rs.55.7423,
29-May-13,Equity,Sub-total,3078.5,2101.2,977.3,175.33,Rs.55.7423,
30-May-13,Equity,Stock Exchange,3031.5,2305.6,725.9,129.06,Rs.56.2430,
30-May-13,Equity,Primary market & others,245.1,0.3,244.8,43.53,Rs.56.2430,
30-May-13,Equity,Sub-total,3276.5,2305.8,970.7,172.6,Rs.56.2430,
31-May-13,Equity,Stock Exchange,6055,4926.3,1128.6,201.18,Rs.56.0995,
31-May-13,Equity,Primary market & others,368.5,0.1,368.4,65.67,Rs.56.0995,
31-May-13,Equity,Sub-total,6423.4,4926.4,1497,266.85,Rs.56.0995,
03-Jun-13,Equity,Stock Exchange,5397.3,5695.8,-298.5,-52.83,Rs.56.4958,
03-Jun-13,Equity,Primary market & others,8.3,206.9,-198.6,-35.14,Rs.56.4958,
03-Jun-13,Equity,Sub-total,5405.6,5902.6,-497,-87.97,Rs.56.4958,
04-Jun-13,Equity,Stock Exchange,2460,2505.6,-45.6,-8.06,Rs.56.5740,
04-Jun-13,Equity,Primary market & others,462.7,2,460.7,81.44,Rs.56.5740,
04-Jun-13,Equity,Sub-total,2922.7,2507.6,415.1,73.37,Rs.56.5740,
05-Jun-13,Equity,Stock Exchange,2451.6,2266,185.6,32.77,Rs.56.6423,
05-Jun-13,Equity,Primary market & others,99.8,20.3,79.5,14.03,Rs.56.6423,
05-Jun-13,Equity,Sub-total,2551.4,2286.3,265.1,46.81,Rs.56.6423,
06-Jun-13,Equity,Stock Exchange,2302.4,2167.4,135,23.93,Rs.56.4238,
06-Jun-13,Equity,Primary market & others,38.8,13.8,25,4.43,Rs.56.4238,
06-Jun-13,Equity,Sub-total,2341.2,2181.2,160,28.36,Rs.56.4238,
07-Jun-13,Equity,Stock Exchange,2111.8,2338,-226.2,-39.77,Rs.56.8690,
07-Jun-13,Equity,Primary market & others,1.1,0.5,0.7,0.12,Rs.56.8690,
07-Jun-13,Equity,Sub-total,2112.9,2338.4,-225.5,-39.66,Rs.56.8690,
10-Jun-13,Equity,Stock Exchange,2476.2,2221.3,254.8,44.91,Rs.56.7445,
10-Jun-13,Equity,Primary market & others,380.1,0.3,379.8,66.93,Rs.56.7445,
10-Jun-13,Equity,Sub-total,2856.2,2221.6,634.6,111.84,Rs.56.7445,
11-Jun-13,Equity,Stock Exchange,2226.4,2311.9,-85.5,-14.8,Rs.57.7820,
11-Jun-13,Equity,Primary market & others,316.7,20.7,296,51.23,Rs.57.7820,
11-Jun-13,Equity,Sub-total,2543.1,2332.6,210.5,36.43,Rs.57.7820,
12-Jun-13,Equity,Stock Exchange,2607.1,3481.7,-874.6,-148.43,Rs.58.9255,
12-Jun-13,Equity,Primary market & others,50.8,0.1,50.7,8.6,Rs.58.9255,
12-Jun-13,Equity,Sub-total,2657.8,3481.8,-823.9,-139.82,Rs.58.9255,
13-Jun-13,Equity,Stock Exchange,2522.8,3566.8,-1044,-179.15,Rs.58.2740,
13-Jun-13,Equity,Primary market & others,0,0.3,-0.3,-0.05,Rs.58.2740,
13-Jun-13,Equity,Sub-total,2522.8,3567.1,-1044.2,-179.19,Rs.58.2740,
14-Jun-13,Equity,Stock Exchange,2460.2,3012.9,-552.8,-94.63,Rs.58.4140,
14-Jun-13,Equity,Primary market & others,0.8,0.4,0.4,0.07,Rs.58.4140,
14-Jun-13,Equity,Sub-total,2461,3013.3,-552.4,-94.56,Rs.58.4140,
17-Jun-13,Equity,Stock Exchange,3378.2,3673.8,-295.5,-51.18,Rs.57.7410,
17-Jun-13,Equity,Primary market & others,0,14.3,-14.3,-2.48,Rs.57.7410,
17-Jun-13,Equity,Sub-total,3378.2,3688.1,-309.8,-53.66,Rs.57.7410,
18-Jun-13,Equity,Stock Exchange,1693.2,1796.5,-103.3,-17.89,Rs.57.7310,
18-Jun-13,Equity,Primary market & others,0,0.5,-0.5,-0.08,Rs.57.7310,
18-Jun-13,Equity,Sub-total,1693.2,1796.9,-103.8,-17.97,Rs.57.7310,
19-Jun-13,Equity,Stock Exchange,1787.1,2333.6,-546.5,-93.5,Rs.58.4515,
19-Jun-13,Equity,Primary market & others,2.2,18.1,-15.9,-2.72,Rs.58.4515,
19-Jun-13,Equity,Sub-total,1789.3,2351.7,-562.4,-96.22,Rs.58.4515,
20-Jun-13,Equity,Stock Exchange,1987.4,2446.3,-458.9,-78.11,Rs.58.7445,
20-Jun-13,Equity,Primary market & others,0.1,0,0.1,0.02,Rs.58.7445,
20-Jun-13,Equity,Sub-total,1987.5,2446.3,-458.7,-78.09,Rs.58.7445,
21-Jun-13,Equity,Stock Exchange,2255.2,4357.9,-2102.8,-352.22,Rs.59.7000,
21-Jun-13,Equity,Primary market & others,0.3,33.8,-33.6,-5.62,Rs.59.7000,
21-Jun-13,Equity,Sub-total,2255.4,4391.8,-2136.3,-357.84,Rs.59.7000,
24-Jun-13,Equity,Stock Exchange,2824.4,4558.4,-1734,-292.17,Rs.59.3505,
24-Jun-13,Equity,Primary market & others,1.5,14.7,-13.3,-2.23,Rs.59.3505,
24-Jun-13,Equity,Sub-total,2825.8,4573.1,-1747.3,-294.4,Rs.59.3505,
25-Jun-13,Equity,Stock Exchange,2342.3,3868.1,-1525.8,-255.43,Rs.59.7340,
25-Jun-13,Equity,Primary market & others,0,0.3,-0.3,-0.04,Rs.59.7340,
25-Jun-13,Equity,Sub-total,2342.3,3868.3,-1526,-255.47,Rs.59.7340,
26-Jun-13,Equity,Stock Exchange,2506.7,3826.5,-1319.8,-221.06,Rs.59.7030,
26-Jun-13,Equity,Primary market & others,0,0.6,-0.6,-0.11,Rs.59.7030,
26-Jun-13,Equity,Sub-total,2506.7,3827.2,-1320.5,-221.17,Rs.59.7030,
27-Jun-13,Equity,Stock Exchange,3057.6,3606.1,-548.4,-91.63,Rs.59.8538,
27-Jun-13,Equity,Primary market & others,0,13.2,-13.2,-2.21,Rs.59.8538,
27-Jun-13,Equity,Sub-total,3057.6,3619.2,-561.6,-93.84,Rs.59.8538,
28-Jun-13,Equity,Stock Exchange,5110.2,5953.1,-842.9,-139.12,Rs.60.5880,
28-Jun-13,Equity,Primary market & others,0.2,0.1,0.2,0.03,Rs.60.5880,
28-Jun-13,Equity,Sub-total,5110.4,5953.2,-842.8,-139.1,Rs.60.5880,
02-Jul-13,Equity,Stock Exchange,8103.4,6892.1,1211.4,204.8,Rs.59.1490,
02-Jul-13,Equity,Primary market & others,0.1,0.1,0,0,Rs.59.1490,
02-Jul-13,Equity,Sub-total,8103.6,6892.2,1211.4,204.8,Rs.59.1490,
03-Jul-13,Equity,Stock Exchange,2302.3,2331.2,-29,-4.88,Rs.59.4145,
03-Jul-13,Equity,Primary market & others,29.6,7.1,22.5,3.79,Rs.59.4145,
03-Jul-13,Equity,Sub-total,2331.9,2338.4,-6.5,-1.09,Rs.59.4145,
04-Jul-13,Equity,Stock Exchange,2276.3,2988.6,-712.3,-118.51,Rs.60.1005,
04-Jul-13,Equity,Primary market & others,141.9,15.2,126.7,21.09,Rs.60.1005,
04-Jul-13,Equity,Sub-total,2418.2,3003.8,-585.5,-97.43,Rs.60.1005,
05-Jul-13,Equity,Stock Exchange,2081.8,1875.7,206.1,34.3,Rs.60.0905,
05-Jul-13,Equity,Primary market & others,216.4,1.5,214.9,35.76,Rs.60.0905,
05-Jul-13,Equity,Sub-total,2298.3,1877.2,421,70.07,Rs.60.0905,
08-Jul-13,Equity,Stock Exchange,1540.6,1567.4,-26.8,-4.44,Rs.60.3395,
08-Jul-13,Equity,Primary market & others,9.7,0.7,9,1.49,Rs.60.3395,
08-Jul-13,Equity,Sub-total,1550.3,1568.1,-17.8,-2.95,Rs.60.3395,
09-Jul-13,Equity,Stock Exchange,2094.3,2333.5,-239.2,-39.19,Rs.61.0455,
09-Jul-13,Equity,Primary market & others,0,1,-1,-0.16,Rs.61.0455,
09-Jul-13,Equity,Sub-total,2094.3,2334.5,-240.2,-39.35,Rs.61.0455,
10-Jul-13,Equity,Stock Exchange,2601.2,2432.2,169,28.13,Rs.60.0745,
10-Jul-13,Equity,Primary market & others,0,1.8,-1.8,-0.3,Rs.60.0745,
10-Jul-13,Equity,Sub-total,2601.2,2434,167.2,27.83,Rs.60.0745,
11-Jul-13,Equity,Stock Exchange,1986,1912.4,73.6,12.24,Rs.60.1330,
11-Jul-13,Equity,Primary market & others,0,0.2,-0.2,-0.03,Rs.60.1330,
11-Jul-13,Equity,Sub-total,1986,1912.6,73.4,12.21,Rs.60.1330,
12-Jul-13,Equity,Stock Exchange,2510.1,1852.3,657.7,110.28,Rs.59.6420,
12-Jul-13,Equity,Primary market & others,0.1,1971.1,-1971,-330.48,Rs.59.6420,
12-Jul-13,Equity,Sub-total,2510.1,3823.4,-1313.3,-220.19,Rs.59.6420,
15-Jul-13,Equity,Stock Exchange,2887.2,2199.2,688,114.86,Rs.59.8960,
15-Jul-13,Equity,Primary market & others,0,5798.4,-5798.4,-968.07,Rs.59.8960,
15-Jul-13,Equity,Sub-total,2887.2,7997.6,-5110.4,-853.21,Rs.59.8960,
16-Jul-13,Equity,Stock Exchange,1905.7,2082.5,-176.8,-29.44,Rs.60.0510,
16-Jul-13,Equity,Primary market & others,0,0.1,-0.1,-0.02,Rs.60.0510,
16-Jul-13,Equity,Sub-total,1905.7,2082.7,-176.9,-29.46,Rs.60.0510,
17-Jul-13,Equity,Stock Exchange,2509.5,2819.1,-309.6,-52.14,Rs.59.3925,
17-Jul-13,Equity,Primary market & others,0,0.1,-0.1,-0.02,Rs.59.3925,
17-Jul-13,Equity,Sub-total,2509.5,2819.2,-309.8,-52.15,Rs.59.3925,
18-Jul-13,Equity,Stock Exchange,4222.8,4227.1,-4.3,-0.73,Rs.59.3623,
18-Jul-13,Equity,Primary market & others,0.6,0.4,0.2,0.03,Rs.59.3623,
18-Jul-13,Equity,Sub-total,4223.4,4227.5,-4.2,-0.7,Rs.59.3623,
19-Jul-13,Equity,Stock Exchange,3192.2,3316.6,-124.4,-20.83,Rs.59.7120,
19-Jul-13,Equity,Primary market & others,11.9,1.1,10.8,1.81,Rs.59.7120,
19-Jul-13,Equity,Sub-total,3204.1,3317.7,-113.6,-19.02,Rs.59.7120,
22-Jul-13,Equity,Stock Exchange,3455.9,3075.3,380.6,63.65,Rs.59.7950,
22-Jul-13,Equity,Primary market & others,19,0,19,3.18,Rs.59.7950,
22-Jul-13,Equity,Sub-total,3475,3075.3,399.6,66.84,Rs.59.7950,
23-Jul-13,Equity,Stock Exchange,1761.2,2143.7,-382.5,-64.39,Rs.59.4080,
23-Jul-13,Equity,Primary market & others,2,0.2,1.8,0.31,Rs.59.4080,
23-Jul-13,Equity,Sub-total,1763.2,2143.9,-380.7,-64.08,Rs.59.4080,
