Reporting Date,Debt/Equity,Investment Route,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
05-Oct-10,Equity,Primary market & others,483.6,16.5,467.1,105.28,Rs.44.3700,
05-Oct-10,Equity,Sub-total,4750.2,2831.3,1918.9,432.48,Rs.44.3700,
06-Oct-10,Equity,Stock Exchange,4288.1,3389.1,899,201.02,Rs.44.7200,
06-Oct-10,Equity,Primary market & others,72.1,0.8,71.3,15.94,Rs.44.7200,
06-Oct-10,Equity,Sub-total,4360.2,3390,970.2,216.96,Rs.44.7200,
07-Oct-10,Equity,Stock Exchange,4868.5,2950.4,1918.1,432.97,Rs.44.3000,
07-Oct-10,Equity,Primary market & others,367.3,0,367.3,82.92,Rs.44.3000,
07-Oct-10,Equity,Sub-total,5235.8,2950.4,2285.4,515.89,Rs.44.3000,
08-Oct-10,Equity,Stock Exchange,4658.6,3391,1267.6,286.27,Rs.44.2800,
08-Oct-10,Equity,Primary market & others,439.6,6.4,433.2,97.83,Rs.44.2800,
08-Oct-10,Equity,Sub-total,5098.2,3397.4,1700.8,384.09,Rs.44.2800,
11-Oct-10,Equity,Stock Exchange,3443.2,2790.1,653.1,147.16,Rs.44.3800,
11-Oct-10,Equity,Primary market & others,159.6,5.2,154.4,34.79,Rs.44.3800,
11-Oct-10,Equity,Sub-total,3602.8,2795.3,807.5,181.95,Rs.44.3800,
12-Oct-10,Equity,Stock Exchange,3482.2,2432.8,1049.5,236.9,Rs.44.3000,
12-Oct-10,Equity,Primary market & others,63.1,1.4,61.7,13.93,Rs.44.3000,
12-Oct-10,Equity,Sub-total,3545.3,2434.2,1111.2,250.83,Rs.44.3000,
13-Oct-10,Equity,Stock Exchange,2964.4,2390.8,573.6,128.2,Rs.44.7400,
13-Oct-10,Equity,Primary market & others,128.1,1.6,126.5,28.28,Rs.44.7400,
13-Oct-10,Equity,Sub-total,3092.5,2392.4,700.1,156.48,Rs.44.7400,
14-Oct-10,Equity,Stock Exchange,5862.3,3613,2249.3,505.45,Rs.44.5000,
14-Oct-10,Equity,Primary market & others,856.3,5.2,851.2,191.27,Rs.44.5000,
14-Oct-10,Equity,Sub-total,6718.6,3618.2,3100.4,696.73,Rs.44.5000,
15-Oct-10,Equity,Stock Exchange,3693.3,2597.6,1095.7,248.02,Rs.44.1800,
15-Oct-10,Equity,Primary market & others,1798.7,0.1,1798.6,407.11,Rs.44.1800,
15-Oct-10,Equity,Sub-total,5492.1,2597.7,2894.3,655.12,Rs.44.1800,
18-Oct-10,Equity,Stock Exchange,2422.1,2267.3,154.8,34.94,Rs.44.3000,
