Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
30-May-00,Equity,242.0,139.1,102.9,23.1,Rs. 44.45,
31-May-00,Equity,289.2,76.9,212.3,47.6,Rs. 44.58,
01-Jun-00,Equity,451.0,363.9,87.1,19.5,Rs. 44.58,
02-Jun-00,Equity,222.4,163.5,58.9,13.2,Rs. 44.57,
05-Jun-00,Equity,201.6,400.4,-198.8,-44.5,Rs. 44.65,
06-Jun-00,Equity,458.0,261.1,196.9,44.1,Rs. 44.66,
07-Jun-00,Equity,217.5,318.1,-100.6,-22.5,Rs. 44.67,
08-Jun-00,Equity,333.6,338.0,-4.4,-1.0,Rs. 44.69,
09-Jun-00,Equity,85.9,135.3,-49.4,-11.0,Rs. 44.78,
12-Jun-00,Equity,291.6,419.3,-127.7,-28.5,Rs. 44.76,
13-Jun-00,Equity,121.9,190.6,-68.7,-15.3,Rs. 44.78,
14-Jun-00,Equity,72.0,292.6,-220.6,-49.3,Rs. 44.78,
15-Jun-00,Equity,224.6,193.9,30.7,6.9,Rs. 44.71,
16-Jun-00,Equity,162.1,172.6,-10.5,-2.4,Rs. 44.71,
19-Jun-00,Equity,342.3,201.3,141.0,31.5,Rs. 44.75,
20-Jun-00,Equity,140.0,235.4,-95.4,-21.4,Rs. 44.69,
21-Jun-00,Equity,375.8,340.1,35.7,8.0,Rs. 44.67,
22-Jun-00,Equity,257.2,287.2,-30.0,-6.7,Rs. 44.64,
23-Jun-00,Equity,233.2,302.2,-69.0,-15.4,Rs. 44.68,
26-Jun-00,Equity,341.7,706.4,-364.7,-81.6,Rs. 44.69,
27-Jun-00,Equity,144.2,156.2,-12.0,-2.7,Rs. 44.65,
28-Jun-00,Equity,133.8,229.1,-95.3,-21.3,Rs. 44.67,
29-Jun-00,Equity,237.1,181.7,55.4,12.4,Rs. 44.67,
30-Jun-00,Equity,196.4,314.3,-117.9,-26.4,Rs. 44.67,
03-Jul-00,Equity,177.3,144.9,32.4,7.3,Rs. 44.68,
04-Jul-00,Equity,94.0,80.4,13.6,3.0,Rs. 44.67,
05-Jul-00,Equity,317.3,322.2,-4.9,-1.1,Rs. 44.67,
06-Jul-00,Equity,366.5,268.3,98.2,22.0,Rs. 44.68,
07-Jul-00,Equity,381.3,416.8,-35.5,-7.9,Rs. 44.73,
10-Jul-00,Equity,196.4,380.9,-184.5,-41.3,Rs. 44.73,
11-Jul-00,Equity,225.3,195.3,30.0,6.7,Rs. 44.69,
12-Jul-00,Equity,216.8,280.5,-63.7,-14.3,Rs. 44.69,
13-Jul-00,Equity,124.4,269.8,-145.4,-32.5,Rs. 44.69,
14-Jul-00,Equity,504.2,446.6,57.6,12.9,Rs. 44.70,
17-Jul-00,Equity,322.1,526.1,-204.0,-45.6,Rs. 44.71,
18-Jul-00,Equity,77.5,537.3,-459.8,-102.8,Rs. 44.71,
19-Jul-00,Equity,257.6,512.7,-255.1,-57.0,Rs. 44.74,
20-Jul-00,Equity,383.0,202.9,180.1,40.2,Rs. 44.78,
21-Jul-00,Equity,222.1,610.8,-388.7,-86.7,Rs. 44.82,
24-Jul-00,Equity,271.2,354.5,-83.3,-18.5,Rs. 45.04,
25-Jul-00,Equity,169.3,269.0,-99.7,-22.3,Rs. 44.72,
26-Jul-00,Equity,380.1,330.5,49.6,11.0,Rs. 44.93,
27-Jul-00,Equity,271.1,442.8,-171.7,-38.3,Rs. 44.88,
28-Jul-00,Equity,403.2,182.5,220.7,49.1,Rs. 44.90,
31-Jul-00,Equity,328.8,332.5,-3.7,-0.8,Rs. 44.89,
01-Aug-00,Equity,211.7,168.1,43.6,9.7,Rs. 44.99,
02-Aug-00,Equity,158.2,236.0,-77.8,-17.2,Rs. 45.13,
03-Aug-00,Equity,84.0,90.0,-6.0,-1.3,Rs. 45.34,
04-Aug-00,Equity,287.9,241.2,46.7,10.3,Rs. 45.44,
07-Aug-00,Equity,269.7,163.8,105.9,23.1,Rs. 45.79,
